pk_local,regiao,estado,microrregiao,zona,bairro,escola_codigo,escola_nome,cidade
215,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037650,EEIF MARCELINO FORTUNATO,TAVARES
216,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037668,EEIEF SAO FRANCISCO,TAVARES
217,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037676,EEIF SEBASTIAO BARROS,TAVARES
218,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25037692,CRECHE CINDERELA JOANA EPAMINONDAS DE OLIVEIRA,TAVARES
219,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25037730,GRUP ESC ANTONIO FLOR DA SILVA,TAVARES
220,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25101587,ESCOLA TECNICA AGROPECUARIA,PRINCESA ISABEL
221,Nordeste,Paraiba,11ª GRE,Urbana,SAO SEBASTIAO,25104934,EEIF ISABEL MARIA DE FREITAS,TAVARES
222,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25104969,EMEIF MARIA DE LOURDES GUILHERME,ÁGUA BRANCA
223,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25105221,EMEIF SITIO PANELAS,JURU
224,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25105230,EMEIF BAIXA GRANDE,JURU
225,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25105515,EMEF JOAQUIM MINERVINO DE SOUSA,ÁGUA BRANCA
226,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25105698,EMEF MANOEL ANTONIO SIMAO,MANAÍRA
227,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25109995,EMEIF FRANCISCA QUIRINO FERREIRA,IMACULADA
228,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25111698,EMEIF ANTONIO ALVES DA SILVA,JURU
229,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25113992,EMEIF JATOBA,JURU
230,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25114000,EMEIF DOM BOSCO,JURU
231,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25115839,EMEF NOSSA SENHORA DO CARMO,MANAÍRA
232,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25115863,CRECHE MUNICIPAL UNIDADE II,PRINCESA ISABEL
233,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25118617,EMEF JOSE DELFINO DA ROCHA,MANAÍRA
234,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25118846,CRECHE MUNICIPAL DONA GENI MARQUES,JURU
235,Nordeste,Paraiba,11ª GRE,Urbana,MAIA,25119028,CRECHE MUNICIPAL UNIDADE VI,PRINCESA ISABEL
236,Nordeste,Paraiba,11ª GRE,Urbana,CRUZEIRO,25119052,CRECHE MUL UNIDADE V,PRINCESA ISABEL
237,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25119958,COLEGIO E CURSO MUNDO MAGICO E INFOR SOFT,PRINCESA ISABEL
238,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25119974,EMEF ANTONIO RODRIGUES,ÁGUA BRANCA
239,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25121960,EEIF INACIO ALVES,TAVARES
240,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25121979,EEIF MANOEL FRANCISCO DA SILVA,TAVARES
241,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25121987,EEIF MANOEL LOPES,TAVARES
242,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25123726,ESCOLA JARDIM DE DEUS ACAO EVANGELICA,IMACULADA
243,Nordeste,Paraiba,11ª GRE,Urbana,GULTERINA ALENCAR VIDAL,25126989,CRECHE MARIA JOSE BARBOSA DE OLIVEIRA - DONA ZEZE,ÁGUA BRANCA
244,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25128353,SISTEMA EDUCACIONAL LAPIS DE COR,PRINCESA ISABEL
245,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25128655,ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL TIA MAZE,PRINCESA ISABEL
246,Nordeste,Paraiba,11ª GRE,Urbana,BAIRRO DO ACUDE,25129341,EMEI PROFESSORA RITA PIRES TEIXEIRA,JURU
247,Nordeste,Paraiba,11ª GRE,Urbana,CHIQUINHO ALMEIDA,25129848,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA MARIA DE FATIMA OLIVEIRA,TAVARES
248,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25130790,CRECHE MUNICIPAL RAIMUNDA TRINDADE SABINO,IMACULADA
249,Nordeste,Paraiba,11ª GRE,Urbana,CASUSA,25131389,EMEF PROFESSORA LUIZA FERREIRA DOS SANTOS,PRINCESA ISABEL
250,Nordeste,Paraiba,11ª GRE,Urbana,ACUDE,25132105,EMEIF DONA ADGINA PIRES RAMOS,JURU
251,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25178806,EMEF TIAGO DE OLIVEIRA LIMA,ÁGUA BRANCA
252,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25282930,IFPB - CAMPUS PRINCESA ISABEL,PRINCESA ISABEL
253,Nordeste,Paraiba,11ª GRE,Urbana,PADRE IBIAPINA,25287931,CRECHE COMUNITARIA INEZ DINIZ LIMA,PRINCESA ISABEL
