pk_local,regiao,estado,microrregiao,zona,bairro,escola_codigo,escola_nome,cidade
75,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25034880,EMEIF VICENTE JOSE DE SOUZA,JURU
76,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25034901,EMEIF SITIO BARRA DOS SOUZAS,JURU
77,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25034952,EMEIF BERNARDINO RAMOS,JURU
78,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25034960,EMEIF SITIO VARZEA,JURU
79,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25034979,EMEIF VICENTE DE CARVALHO,JURU
80,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25034995,EMEF MANOEL GALDINO DE MORAIS,JURU
81,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035002,EMEIF MANOEL RODRIGUES DOS SANTOS,JURU
82,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035010,EMEIF MANOEL SIMOA DA SILVA,JURU
83,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035029,EMEIF SITIO RIACHO SECO,JURU
84,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035061,EMEIF CIRILO FERREIRA NUNES,JURU
85,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035193,EMEIF LUIZ DE SOUSA BRASIL,JURU
86,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035207,EMEIF MANOEL BARBOSA,JURU
87,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035223,EMEF MANOEL FLORENTINO,JURU
88,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035231,EMEIF POSSIDONIO DA COSTA VERAS,JURU
89,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035240,EMEIF SILVINO FIRMINO DOS SANTOS,JURU
90,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035258,EMEIF JOAO RAMOS DA SILVA,JURU
91,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035266,EMEIF MANOEL JOAQUIM DE SOUSA,JURU
92,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035274,EMEIF SIMAO PIRES,JURU
93,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035282,EMEIF FRANCISCO A DE OLIVEIRA,JURU
94,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035290,EMEF JOSE EUFRASIO DO NASCIMENTO,JURU
95,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035304,EMEIF DR PLINIO LEMOS,JURU
96,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035320,EMEIF SEVERINO BARROS,JURU
97,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035347,EMEIF DO SITIO JORGE,JURU
98,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035355,EMEF SITIO ROSILHO,JURU
99,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035363,EMEIF COSME PIRES,JURU
100,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035371,EMEIF POLONORDESTE,JURU
101,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035380,EMEIF FRANCISCO GRANGEIRO DA SILVA,JURU
102,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035398,EMEIF POLONORDESTE,JURU
103,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25035410,CRECHE ESCOLAR MARIA LUCIA SIMPLICIO,MANAÍRA
104,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25035436,EEEFM PROFESSOR CICERO RABELO NOGUEIRA,MANAÍRA
105,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25035444,EEEF PROFESSORA ANTONIA DINIZ MAIA,MANAÍRA
106,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035452,EEEF SEBASTIANA DINO,MANAÍRA
107,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035479,EMEF ANTONIA ALVES DINIZ,MANAÍRA
108,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035487,EMEF ANTONIO DE SOUSA BRASIL,MANAÍRA
109,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035495,EMEF ANTONIO JOSE GUABIRABA,MANAÍRA
110,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035509,EMEF ANTONIO MACENA,MANAÍRA
111,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035517,EMEF ANTONIO FURTADO LEITE,MANAÍRA
112,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035525,EMEF SITIO AREIAS DE OLHO DAGUA,MANAÍRA
113,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035533,EMEF AREIAS DE PELO SINAL,MANAÍRA
114,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035568,EMEF BENEDITO CARNEIRO DA SILVA,MANAÍRA
115,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035576,EMEF CICERO RABELO NOGUEIRA,MANAÍRA
116,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035584,EMEF EUCLIDES TEIXEIRA CAMPOS,MANAÍRA
117,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035592,EMEF FERNANDO ADAO ELOI,MANAÍRA
118,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035673,EMEF MANOEL SANTANA DA SILVA,MANAÍRA
119,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035703,EMEF LUIZ DE SOUSA PRIMO,MANAÍRA
120,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035720,EMEF SITIO OLHO DAGUA DOS ANTONIOS,MANAÍRA
121,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035738,EMEF PEDRO DE FREITAS FRAZAO,MANAÍRA
122,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035746,EMEF SEBASTIANA MARIA DA CONCEICAO,MANAÍRA
123,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25035754,EMEF SEBASTIANA DINO,MANAÍRA
124,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035827,EMEF SITIO QUEDA,MANAÍRA
125,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035843,EMEF SAO JOAQUIM,MANAÍRA
126,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25035908,EMEF DE MANAIRA,MANAÍRA
127,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035924,EMEF JOSE NICOLAU NOGUEIRA,MANAÍRA
128,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035932,EMEF JUVENCIO ANTAS,MANAÍRA
129,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25035940,EMEF MANOEL LOPES DE SIQUEIRA,MANAÍRA
130,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25035967,EMEF PROFESSOR CICERO RABELO NOGUEIRA,MANAÍRA
131,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25036017,ENE MONS SEBASTIAO RABELO,MANAÍRA
132,Nordeste,Paraiba,11ª GRE,Rural,ZONA RURAL,25036106,EMEF MANOEL BARBOSA,MANAÍRA
133,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25036122,CRECHE SALVIANA NUNES DA SILVA,PRINCESA ISABEL
134,Nordeste,Paraiba,11ª GRE,Urbana,NÃO INFORMADO,25036130,CRECHE MUNICIPAL UNIDADE I,PRINCESA ISABEL
135,Nordeste,Paraiba,11ª GRE,Urbana,CRUZEIRO,25036297,EEEIF PROFESSORA IRACEMA MARQUES DE LIMA,PRINCESA ISABEL
136,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25036300,EEEFN GAMA E MELO,PRINCESA ISABEL
137,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25036335,EEEB NOSSA SENHORA DO BOM CONSELHO,PRINCESA ISABEL
138,Nordeste,Paraiba,11ª GRE,Urbana,CENTRO,25036343,EEEFM MINISTRO ALCIDES VIEIRA CARNEIRO,PRINCESA ISABEL
139,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036416,ESCOLA MUNICIPAL LAGE DA ONCA,SÃO JOSÉ DE PRINCESA
140,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036424,EMEF PROFª MARIA LOPES DE LIMA,PRINCESA ISABEL
141,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036432,EMEF DO SITIO OLHO DAGUA,PRINCESA ISABEL
142,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036467,ESCOLA MUNICIPAL SAQUINHO,SÃO JOSÉ DE PRINCESA
143,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036475,ESCOLA MUNICIPAL SERRA BRANCA,SÃO JOSÉ DE PRINCESA
144,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036483,ESCOLA MUNICIPAL TATAIRA NORTE,SÃO JOSÉ DE PRINCESA
145,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036505,EMEF SITIO ALEGRE,PRINCESA ISABEL
146,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036513,ESCOLA MUNICIPAL ALMAS,SÃO JOSÉ DE PRINCESA
147,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036521,EMEF JOSE SOBREIRA GUIMARAES,PRINCESA ISABEL
148,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036530,EMEF NOVA OLINDA,PRINCESA ISABEL
149,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036572,EMEF MARIA DO CARMO PIRES DINIZ,PRINCESA ISABEL
150,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036599,EMEF SITIO QUIXABA,PRINCESA ISABEL
151,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036661,EMEF ANTONIO BEZERRA DA SILVA,PRINCESA ISABEL
152,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036670,EMEF ANTONIO RODRIGUES DE MEDEIROS,PRINCESA ISABEL
153,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036688,EMEF DIONISIO PEDRO DE OLIVEIRA,PRINCESA ISABEL
154,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036696,EMEF JOAQUIM ALEXANDRE DA SILVA,PRINCESA ISABEL
155,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036700,EMEF JOSE RODRIGUES MAIA,PRINCESA ISABEL
156,Nordeste,Paraiba,11ª GRE,Rural,NÃO INFORMADO,25036718,EMEF LINDAURA PESSOA DE LIMA,PRINCESA ISABEL
